tratamento,n_trials,n_participantes,green,censurados_35min,media_segundos,mediana_segundos,q1_segundos,q3_segundos,iqr_segundos,mediana_min,q1_min,q3_min,iqr_min
IA,6,3,6,0,149.73,112.5,74.265,206.1675,131.90249999999997,1.875,1.2377500000000001,3.436125,2.198375
Manual,6,3,6,0,212.49166666666667,167.595,79.1925,326.4975,247.305,2.79325,1.3198750000000001,5.441625,4.1217500000000005
