tratamento,n_trials,green,time_box,passed_soma,failed_soma,total_testes_soma,taxa_final_mediana_pct,taxa_final_media_pct,falhas_finais_mediana
IA,4,4,0,35,0,35,100.0,100.0,0.0
Manual,4,4,0,35,0,35,100.0,100.0,0.0
