rq,statistic,value,unit
RQ03,total,1000.0,records
RQ03,valid,1000.0,records
RQ03,missing,0.0,records
RQ03,minimum,0.0,releases
RQ03,maximum,1000.0,releases
RQ03,mean,127.287,releases
RQ03,median,39.5,releases
RQ03,standard_deviation,212.52239505379052,releases
RQ03,q1,0.0,releases
RQ03,q3,148.25,releases
RQ03,iqr,148.25,releases
RQ03,p10,0.0,releases
RQ03,p90,348.4000000000001,releases
RQ03,skewness,2.6111534876549576,dimensionless
RQ03,zeros,280.0,records
RQ03,at_ceiling,21.0,records
RQ04,total,1000.0,records
RQ04,valid,1000.0,records
RQ04,missing,0.0,records
RQ04,minimum,0.0,days
RQ04,maximum,2448.0,days
RQ04,mean,114.063,days
RQ04,median,3.0,days
RQ04,standard_deviation,264.06330388651025,days
RQ04,q1,1.0,days
RQ04,q3,52.0,days
RQ04,iqr,51.0,days
RQ04,p10,0.0,days
RQ04,p90,462.3000000000003,days
RQ04,skewness,3.1957061165283402,dimensionless
RQ04,zeros,177.0,records
RQ04,above_365,114.0,records
