name_with_owner,stargazer_count,created_at,repository_age_days,merged_pull_requests,release_count,pushed_at,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
mckaywrigley/chatbot-ui,33337,2023-03-11T14:53:14Z,1253,281,0,2024-08-03T00:38:07Z,743,TypeScript,1012,819,0.8092885375494071
remix-run/remix,33310,2020-10-26T19:57:28Z,2119,4022,633,2026-08-14T21:01:05Z,2,TypeScript,2774,2747,0.9902667627974044
google/comprehensive-rust,33308,2022-12-21T15:17:24Z,1333,2512,0,2026-08-05T08:02:33Z,11,Rust,373,256,0.6863270777479893
alibaba/nacos,33271,2018-06-15T06:49:27Z,2983,3872,98,2026-08-14T08:09:31Z,2,Java,9779,9605,0.9822067696083444
zeromicro/go-zero,33259,2020-08-07T15:37:57Z,2199,2511,154,2026-08-15T09:10:35Z,1,Go,1995,1884,0.9443609022556391
motiondivision/motion,33254,2018-11-16T09:48:38Z,2829,1283,0,2026-08-10T13:25:30Z,6,TypeScript,1943,1838,0.9459598558929491
MetaCubeX/mihomo,33246,2021-05-20T11:06:33Z,1913,321,61,2026-08-15T19:01:27Z,1,Python,1976,1527,0.7727732793522267
certbot/certbot,33203,2014-11-12T02:52:20Z,4295,4130,72,2026-08-12T23:58:22Z,4,Python,5572,5448,0.9777458722182341
bilibili/ijkplayer,33195,2013-06-03T04:12:04Z,4822,35,0,2024-08-13T00:53:33Z,733,C,5381,2545,0.47296041627950197
waydabber/BetterDisplay,33183,2021-10-24T08:32:56Z,1756,2,132,2026-08-11T17:42:33Z,5,Não informado,3284,3067,0.9339220462850183
dgtlmoon/changedetection.io,33171,2021-01-27T16:03:30Z,2026,1168,216,2026-08-15T17:00:17Z,1,Python,1739,1423,0.8182863714778609
langfuse/langfuse,33161,2023-05-18T17:47:09Z,1185,7499,653,2026-08-16T02:49:59Z,0,TypeScript,2849,2550,0.8950508950508951
qier222/YesPlayMusic,33150,2020-10-09T10:04:21Z,2136,297,32,2026-06-14T12:57:40Z,63,Vue,1849,1203,0.6506219578150352
vbenjs/vue-vben-admin,33137,2020-07-11T02:29:21Z,2227,1917,63,2026-08-15T06:06:15Z,1,Vue,4133,4059,0.9820953302685701
linshenkx/prompt-optimizer,33137,2025-02-12T06:06:49Z,549,60,47,2026-08-13T14:23:12Z,3,TypeScript,224,217,0.96875
cursor/cursor,33116,2023-03-12T00:19:42Z,1253,49,0,2026-05-12T15:25:06Z,96,Não informado,0,0,
pear-devs/pear-desktop,33075,2019-04-19T18:14:40Z,2675,1659,88,2026-08-14T11:50:34Z,2,TypeScript,2074,1534,0.7396335583413693
immutable-js/immutable-js,33040,2014-07-02T06:02:29Z,4427,676,99,2026-08-15T22:54:55Z,1,TypeScript,1275,1176,0.9223529411764706
binarywang/WxJava,33021,2016-01-06T08:24:05Z,3874,1271,31,2026-08-14T01:42:20Z,2,Java,2529,2519,0.9960458679319889
adobe/brackets,33012,2011-12-07T21:14:40Z,5365,4332,69,2022-06-12T08:19:24Z,1526,JavaScript,9678,7063,0.7297995453606116
ibraheemdev/modern-unix,33010,2021-01-12T00:50:14Z,2042,15,0,2024-09-10T19:48:56Z,705,Não informado,85,30,0.35294117647058826
Leey21/awesome-ai-research-writing,32982,2026-01-30T07:59:30Z,197,0,0,2026-05-18T12:38:36Z,90,Não informado,26,21,0.8076923076923077
datawhalechina/happy-llm,32977,2024-05-28T03:22:50Z,810,30,3,2026-08-08T17:18:48Z,8,Jupyter Notebook,134,81,0.6044776119402985
gulpjs/gulp,32952,2013-07-04T05:26:06Z,4791,412,24,2026-02-09T06:30:13Z,188,JavaScript,1936,1906,0.984504132231405
tokio-rs/tokio,32929,2016-09-09T22:31:36Z,3627,4008,154,2026-08-11T07:51:50Z,5,Rust,2680,2368,0.8835820895522388
0xAX/linux-insides,32917,2015-01-03T18:44:57Z,4242,649,0,2026-08-06T18:18:36Z,10,Python,194,177,0.9123711340206185
OWASP/CheatSheetSeries,32898,2018-12-21T14:26:43Z,2794,1361,0,2026-08-14T01:12:07Z,2,Python,705,662,0.9390070921985816
