name_with_owner,stargazer_count,created_at,repository_age_days,merged_pull_requests,release_count,pushed_at,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
wailsapp/wails,35839,2018-12-15T23:14:06Z,2800,2100,354,2026-08-16T00:04:57Z,0,Go,2519,2358,0.9360857483128225
solidjs/solid,35838,2018-04-24T16:36:27Z,3035,455,37,2026-08-12T23:15:06Z,4,TypeScript,1363,1339,0.9823917828319882
Crosstalk-Solutions/project-nomad,35825,2025-06-24T15:35:01Z,417,407,76,2026-08-14T22:37:04Z,2,TypeScript,535,491,0.9177570093457944
HKUDS/DeepTutor,35823,2025-12-28T15:35:54Z,230,242,66,2026-08-13T11:32:51Z,3,Python,356,286,0.8033707865168539
XingangPan/DragGAN,35766,2023-05-18T10:08:02Z,1185,18,0,2024-05-18T17:51:40Z,820,Python,192,46,0.23958333333333334
junegunn/vim-plug,35748,2013-09-10T14:58:51Z,4722,181,8,2026-05-22T13:40:34Z,86,Vim Script,1045,972,0.9301435406698565
OpenBMB/VoxCPM,35708,2025-09-16T03:41:49Z,334,25,14,2026-08-12T14:14:37Z,4,Python,318,227,0.7138364779874213
alan2207/bulletproof-react,35700,2021-05-30T14:47:16Z,1903,75,0,2026-05-14T13:53:04Z,94,TypeScript,118,81,0.6864406779661016
airbnb/lottie-android,35700,2016-10-06T22:42:42Z,3600,720,63,2026-02-15T22:03:57Z,182,Java,1813,1755,0.9680088251516823
jondot/awesome-react-native,35694,2015-03-26T19:58:06Z,4160,912,0,2024-07-05T13:12:41Z,772,JavaScript,77,38,0.4935064935064935
koajs/koa,35688,2013-07-20T18:53:45Z,4774,554,18,2026-08-11T12:48:44Z,5,JavaScript,933,915,0.9807073954983923
opentofu/manifesto,35685,2023-08-13T16:17:24Z,1098,765,0,2025-03-18T18:26:51Z,516,HTML,26,14,0.5384615384615384
gchq/CyberChef,35588,2016-11-28T10:34:07Z,3547,785,457,2026-08-14T02:06:50Z,2,JavaScript,1249,820,0.6565252201761409
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,35558,2015-03-28T16:52:40Z,4158,98,0,2025-01-01T19:14:38Z,592,JavaScript,30,20,0.6666666666666666
restic/restic,35540,2014-04-27T14:07:58Z,4493,2442,51,2026-08-01T20:25:16Z,15,Go,3006,2544,0.846307385229541
searxng/searxng,35529,2021-04-12T15:18:15Z,1951,3141,0,2026-08-14T08:21:53Z,2,Python,1836,1656,0.9019607843137255
refinedev/refine,35522,2021-01-20T12:01:32Z,2033,4697,1000,2026-06-05T15:19:38Z,72,TypeScript,1744,1733,0.9936926605504587
microsoft/graphrag,35516,2024-03-27T17:57:52Z,871,753,41,2026-08-14T18:16:11Z,2,Python,830,827,0.9963855421686747
continuedev/continue,35495,2023-05-24T03:39:39Z,1180,4078,827,2026-08-15T22:26:22Z,1,TypeScript,6663,6166,0.9254089749362149
drizzle-team/drizzle-orm,35492,2021-06-24T09:03:05Z,1878,713,182,2026-08-12T14:22:15Z,4,TypeScript,3719,2341,0.6294702877117505
jqlang/jq,35455,2012-07-18T19:57:25Z,5141,709,16,2026-08-12T19:02:39Z,4,C,2350,1990,0.8468085106382979
alvarotrigo/fullPage.js,35412,2013-09-20T11:58:29Z,4712,327,109,2026-03-17T16:13:31Z,152,JavaScript,4155,4045,0.97352587244284
permissionlesstech/bitchat,35402,2025-07-04T14:34:38Z,407,508,20,2026-08-11T09:09:54Z,5,Swift,404,365,0.9034653465346535
Yuan1z0825/nature-skills,35376,2026-04-24T03:11:46Z,114,132,0,2026-08-16T02:43:53Z,0,Python,30,30,1.0
kuchin/awesome-cto,35325,2016-12-16T19:22:18Z,3529,18,0,2026-03-02T12:50:21Z,167,Não informado,15,15,1.0
casey/just,35305,2016-06-17T06:08:08Z,3711,1794,146,2026-08-12T23:47:50Z,4,Rust,1466,1298,0.8854024556616644
nativefier/nativefier,35286,2015-07-05T05:56:42Z,4059,261,99,2023-09-29T13:45:16Z,1052,TypeScript,1236,981,0.7936893203883495
typicode/husky,35273,2014-06-23T12:14:21Z,4436,263,80,2026-03-19T23:03:16Z,150,JavaScript,1114,1032,0.926391382405745
geekcomputers/Python,35261,2011-11-30T09:04:08Z,5372,2033,0,2026-08-13T15:13:00Z,3,Python,542,161,0.29704797047970477
sahat/hackathon-starter,35248,2013-11-13T17:24:12Z,4658,605,18,2026-08-14T13:30:06Z,2,JavaScript,728,727,0.9986263736263736
tailscale/tailscale,35217,2020-01-31T22:00:03Z,2388,8697,159,2026-08-16T00:20:33Z,0,Go,10571,6588,0.623214454640053
VectifyAI/PageIndex,35201,2025-04-01T10:53:54Z,501,86,5,2026-08-14T23:11:17Z,2,Python,121,53,0.4380165289256198
blakeblackshear/frigate,35120,2019-01-26T13:52:38Z,2758,4151,81,2026-08-15T20:24:06Z,1,TypeScript,6029,5951,0.9870625310996849
fxsjy/jieba,35114,2012-09-29T07:52:01Z,5068,96,9,2024-08-21T09:23:45Z,725,Python,877,231,0.2633979475484607
geekan/HowToLiveLonger,35101,2022-04-16T04:15:18Z,1583,14,0,2025-05-19T14:10:41Z,454,Não informado,142,103,0.7253521126760564
unknwon/the-way-to-go_ZH_CN,35037,2013-03-24T17:18:38Z,4892,592,0,2024-08-14T07:04:25Z,732,Go,0,0,
netty/netty,35030,2010-11-09T09:22:21Z,5758,5754,13,2026-08-15T13:47:54Z,1,Java,6947,6365,0.9162228299985605
bumptech/glide,35025,2013-07-08T22:52:33Z,4786,637,59,2026-08-14T06:06:51Z,2,Java,4534,3941,0.8692104102337892
sorrycc/awesome-javascript,35019,2014-07-01T15:59:02Z,4428,412,0,2026-07-31T19:54:43Z,16,Não informado,112,107,0.9553571428571429
utmapp/UTM,35019,2019-04-12T16:09:24Z,2682,292,130,2026-08-05T07:54:18Z,11,Swift,3700,2630,0.7108108108108108
hehonghui/awesome-english-ebooks,34936,2022-06-28T02:45:44Z,1510,0,0,2026-08-14T21:46:01Z,2,CSS,0,0,
zellij-org/zellij,34920,2020-09-01T14:04:28Z,2174,1517,69,2026-08-13T08:19:13Z,3,Rust,2829,1300,0.4595263343937787
DayuanJiang/next-ai-draw-io,34917,2025-03-23T15:03:48Z,510,443,18,2026-08-14T21:55:53Z,2,TypeScript,330,189,0.5727272727272728
awesome-foss/awesome-sysadmin,34909,2014-12-23T08:41:22Z,4253,369,0,2026-06-20T20:39:14Z,57,Não informado,108,108,1.0
laravel/framework,34869,2013-01-10T21:27:28Z,4965,18470,963,2026-08-14T22:03:11Z,2,PHP,19309,19253,0.9970997980216479
gitroomhq/postiz-app,34711,2023-07-08T17:24:22Z,1134,290,199,2026-08-15T14:13:37Z,1,TypeScript,787,630,0.8005082592121983
facebookresearch/detectron2,34665,2019-09-05T21:30:20Z,2536,0,10,2026-07-24T22:21:57Z,23,Python,3574,3102,0.8679350867375489
qishibo/AnotherRedisDesktopManager,34637,2019-01-08T06:01:56Z,2776,161,54,2026-08-13T13:08:20Z,3,JavaScript,1116,971,0.8700716845878136
esengine/DeepSeek-Reasonix,34627,2026-04-21T08:27:02Z,116,3303,178,2026-08-16T05:24:05Z,0,Go,4023,2970,0.738255033557047
TheAlgorithms/C-Plus-Plus,34583,2016-07-16T10:19:45Z,3682,705,0,2025-10-11T14:51:22Z,309,C++,344,334,0.9709302325581395
BVLC/caffe,34576,2013-09-12T18:39:48Z,4720,1087,14,2024-07-31T23:10:28Z,746,C++,5227,3939,0.7535871436770614
lissy93/web-check,34521,2023-06-25T14:32:11Z,1147,74,3,2026-08-11T09:01:27Z,5,TypeScript,149,145,0.9731543624161074
v2fly/v2ray-core,34480,2019-04-15T10:05:54Z,2679,1037,130,2026-08-15T01:14:29Z,1,Go,1113,1085,0.9748427672955975
ocrmypdf/OCRmyPDF,34453,2013-12-20T08:26:28Z,4621,202,62,2026-08-06T22:47:30Z,10,Python,1360,1267,0.9316176470588236
