participant,kata,treatment,trial_id,issue,loc,avg_cyclomatic_complexity,duplication_percentage,cyclomatic_complexity_max,duplicated_lines,duplicated_blocks,analyzed_functions,analysis_error,solution_path,collected_at,json_path,source_kind
Codex Work (preparatório),kata2_balanceamento_turnos,IA,,,5,3.0,0.0,3,0,0,1,,lab02/preparatory/fernanda/trial1_kata2_ia/solucao.py,2026-09-20T16:33:03.060289+00:00,lab02/preparatory/fernanda/metrics/Codex-Work-preparatorio_kata2_balanceamento_turnos_IA_20260920T163303061287Z.json,technical_preparatory
Codex Work (preparatório),kata1_normalizador_etiquetas,Manual,,,13,4.0,0.0,4,0,0,1,,lab02/preparatory/fernanda/trial2_kata1_manual/solucao.py,2026-09-20T16:33:07.838143+00:00,lab02/preparatory/fernanda/metrics/Codex-Work-preparatorio_kata1_normalizador_etiquetas_Manual_20260920T163307838143Z.json,technical_preparatory
Codex Work (preparatório),kata4_manutencao_preditiva,IA,,,14,5.0,0.0,5,0,0,1,,lab02/preparatory/fernanda/trial3_kata4_ia/solucao.py,2026-09-20T16:33:12.569748+00:00,lab02/preparatory/fernanda/metrics/Codex-Work-preparatorio_kata4_manutencao_preditiva_IA_20260920T163312569748Z.json,technical_preparatory
Codex Work (preparatório),kata3_compactador_sensor,Manual,,,13,4.0,0.0,5,0,0,2,,lab02/preparatory/fernanda/trial4_kata3_manual/solucao.py,2026-09-20T16:33:18.943354+00:00,lab02/preparatory/fernanda/metrics/Codex-Work-preparatorio_kata3_compactador_sensor_Manual_20260920T163318944355Z.json,technical_preparatory
